Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,has_name,has_description
0,3.0,136,0,1,1,2,0,1,0,0,0,0,0,1,0,2,0,3.0,1,1
0,5.0,136,0,1,1,6,0,1,0,0,0,0,0,1,0,2,0,5.0,1,1
1,2.0,100,0,1,5,6,0,0,0,1,1,1,0,1,0,12,0,5.0,1,1
0,3.0,28,0,1,0,1,0,0,0,1,1,1,0,1,100,2,0,2.0,1,1
1,36.0,122,0,1,4,5,5,2,1,1,1,0,0,1,0,2,0,8.0,1,1
0,1.0,136,0,0,0,1,1,1,0,1,1,2,0,6,1,12,0,4.0,1,1
0,5.0,136,0,1,4,0,0,1,0,0,0,0,0,1,0,12,0,4.0,1,1
1,3.0,99,0,1,6,0,0,1,1,1,1,1,0,1,0,2,0,1.0,1,1
0,1.0,136,0,1,1,6,0,1,0,1,1,1,0,1,50,2,0,1.0,1,1
0,3.0,136,0,1,6,0,0,1,0,1,1,1,0,1,0,2,0,1.0,1,1
0,4.0,136,107,1,1,0,0,1,1,0,0,1,0,1,0,2,0,4.0,1,1
1,24.0,100,0,0,5,6,0,1,0,1,0,0,0,1,0,2,0,0.0,1,1
1,24.0,100,0,1,0,1,5,2,1,0,0,0,0,1,0,12,0,3.0,1,1
1,1.0,129,0,1,0,6,0,1,1,1,1,1,0,1,0,2,0,1.0,0,1
1,1.0,100,0,1,0,6,0,0,0,1,1,1,0,1,0,2,0,3.0,1,1
1,3.0,88,69,2,0,1,1,1,1,1,0,1,0,2,100,2,0,2.0,1,1
1,1.0,99,0,0,2,3,0,2,1,1,1,1,0,1,0,2,0,3.0,1,1
1,2.0,100,0,1,3,6,0,0,0,1,1,1,1,1,0,2,0,4.0,1,1
0,1.0,136,0,1,0,1,5,1,2,1,1,1,0,1,0,12,0,1.0,1,1
1,24.0,100,0,1,0,1,5,0,0,0,0,0,0,1,0,2,0,2.0,1,1
0,2.0,136,107,1,1,0,0,1,0,0,0,1,0,1,0,2,0,3.0,1,1
1,1.0,100,0,1,0,1,0,1,0,1,1,1,0,1,0,12,0,1.0,0,1
1,16.0,106,0,0,1,5,5,1,1,0,0,0,0,3,0,2,0,4.0,1,1
1,2.0,79,0,0,5,6,0,1,2,0,0,1,0,1,350,2,0,10.0,1,1
1,3.0,99,76,2,0,6,0,1,1,1,0,1,0,2,50,2,0,3.0,0,1
0,4.0,16,107,1,1,6,0,0,0,0,0,1,0,1,300,2,0,5.0,1,1
1,6.0,99,0,1,1,5,5,1,2,2,2,2,0,1,0,12,0,6.0,1,1
0,1.0,136,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,6.0,1,1
0,7.0,136,0,0,0,1,0,2,2,0,0,1,0,1,0,7,0,2.0,1,1
1,4.0,100,0,0,3,0,0,1,0,1,1,1,0,1,0,12,0,3.0,1,1
0,2.0,65,107,1,0,1,0,1,2,1,1,1,0,2,0,4,0,1.0,0,1
0,18.0,51,39,1,0,1,5,1,0,0,1,2,0,1,200,2,0,3.0,1,1
1,6.0,99,0,1,2,3,3,1,1,1,1,2,0,2,50,12,0,0.0,1,1
0,5.0,136,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,5.0,1,1
1,3.0,122,0,0,0,6,0,0,0,1,1,1,0,1,0,12,0,1.0,1,1
0,2.0,136,0,1,4,0,0,1,0,1,0,1,0,1,0,3,0,1.0,1,1
0,2.0,144,107,2,0,1,2,1,0,1,1,1,0,6,0,3,0,2.0,0,1
0,0.0,136,0,2,0,5,5,1,0,1,1,1,0,5,0,2,0,5.0,1,1
1,3.0,100,0,0,3,0,0,0,0,1,0,1,0,1,0,12,0,1.0,1,1
1,2.0,100,0,0,0,6,0,0,0,1,0,1,0,1,0,2,0,1.0,1,1
0,2.0,136,0,0,1,0,0,1,0,0,0,1,0,1,0,4,1,9.0,1,1
0,19.0,151,0,0,2,0,0,1,1,0,0,1,0,1,350,2,0,3.0,1,1
0,24.0,136,0,1,0,6,0,1,0,2,2,1,0,1,0,12,0,2.0,1,1
0,3.0,136,0,1,2,0,0,1,0,2,2,2,0,1,0,3,0,3.0,1,1
0,5.0,136,0,0,1,3,3,1,1,0,0,1,0,1,0,2,0,1.0,1,1
1,4.0,100,77,1,2,6,0,1,0,0,0,1,0,1,120,2,0,7.0,1,1
0,60.0,136,0,1,6,0,0,0,2,0,0,2,0,1,0,12,0,5.0,1,1
0,1.0,44,107,0,0,1,0,1,1,1,1,1,0,1,0,3,0,5.0,1,1
0,2.0,136,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,4.0,1,1
1,2.0,100,0,1,0,3,5,1,0,1,0,1,0,1,0,12,0,15.0,1,1
0,48.0,28,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,2.0,1,1
0,1.0,136,0,1,1,6,0,1,1,0,0,1,0,1,0,2,0,4.0,1,1
1,3.0,100,0,0,4,0,0,1,0,1,0,1,0,1,0,12,1,12.0,1,1
1,3.0,99,97,2,6,0,0,0,1,0,0,0,0,2,0,2,0,4.0,1,1
0,6.0,136,0,1,1,0,0,1,0,2,2,2,0,1,0,2,0,3.0,1,1
0,2.0,136,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,4.0,1,1
0,1.0,136,107,1,0,1,0,1,1,0,0,1,0,1,150,2,1,13.0,1,1
0,3.0,136,0,0,0,6,0,1,0,1,1,1,0,1,10,1,0,1.0,1,1
1,3.0,125,0,2,0,1,2,1,1,1,1,1,0,4,0,7,0,1.0,1,1
0,2.0,136,0,1,0,1,5,1,1,1,0,1,0,1,0,3,0,1.0,1,1
0,2.0,136,0,0,4,0,0,1,1,2,2,1,0,1,0,2,0,5.0,1,1
1,2.0,100,0,1,0,1,0,1,0,1,1,1,0,1,0,2,0,11.0,1,1
0,2.0,136,107,0,0,1,1,0,1,0,0,1,0,1,0,2,0,5.0,1,1
0,2.0,136,0,1,1,6,0,1,0,2,2,1,0,1,0,2,0,1.0,1,1
1,14.0,99,0,1,1,0,0,1,2,1,0,2,0,1,0,12,0,1.0,1,1
0,3.0,136,0,1,0,3,0,2,0,2,0,2,0,2,0,2,0,1.0,1,1
1,3.0,100,0,0,0,1,5,0,1,1,1,1,0,1,0,2,0,4.0,1,1
1,1.0,100,0,1,0,3,5,1,0,1,0,1,0,1,0,12,0,3.0,1,1
0,2.0,136,107,1,1,3,5,1,0,0,1,1,0,1,0,12,0,1.0,1,1
0,36.0,38,0,0,4,6,0,0,1,0,0,0,0,1,200,2,0,4.0,1,1
1,2.0,100,0,0,0,1,4,0,0,1,0,1,0,1,0,2,0,7.0,1,1
0,2.0,136,0,1,0,1,0,1,0,0,0,1,0,1,0,12,0,2.0,1,1
1,24.0,98,0,1,1,0,0,1,2,0,0,0,0,1,150,7,0,1.0,1,1
1,6.0,100,0,1,1,5,5,1,0,1,1,1,0,1,0,2,0,1.0,0,1
0,2.0,136,0,1,6,0,0,0,0,1,1,1,0,1,0,2,0,1.0,1,1
1,2.0,98,76,2,0,6,0,0,2,1,1,1,0,3,0,7,0,1.0,1,1
0,2.0,21,0,1,0,0,0,2,0,2,2,2,0,1,0,2,0,5.0,1,1
0,36.0,158,0,1,0,1,0,2,1,2,2,2,1,1,0,12,0,4.0,0,1
0,2.0,136,0,2,0,1,5,1,0,1,1,1,0,6,0,12,0,1.0,1,1
1,2.0,100,0,2,0,1,5,1,0,0,0,1,0,4,0,12,0,4.0,1,1
1,1.0,132,0,1,0,5,5,1,0,1,1,1,0,1,0,2,0,5.0,1,1
0,8.0,136,107,1,5,0,0,1,0,0,0,0,0,1,0,2,0,4.0,1,1
1,112.0,100,0,0,0,6,0,0,0,1,1,1,0,1,0,12,0,5.0,1,1
1,20.0,132,0,1,0,1,5,0,0,0,0,0,0,1,0,2,0,1.0,1,1
1,3.0,99,0,1,0,6,0,1,1,1,1,2,0,1,0,2,0,4.0,1,1
1,1.0,100,78,2,0,6,0,1,0,1,1,1,0,4,0,12,0,2.0,1,1
0,5.0,8,107,1,4,6,0,1,1,0,0,1,0,1,0,2,0,11.0,1,1
0,72.0,58,0,0,1,4,5,2,2,0,0,1,0,1,0,2,0,4.0,1,1
1,11.0,100,0,2,2,6,0,1,1,1,1,1,0,3,0,12,0,3.0,0,1
1,6.0,100,0,2,4,5,5,1,1,1,0,1,0,2,0,12,0,5.0,1,1
1,0.0,100,0,1,0,1,1,0,0,1,1,1,0,1,0,2,0,3.0,0,1
1,6.0,85,0,2,3,6,0,1,0,1,1,1,0,5,0,7,0,3.0,1,1
1,3.0,100,0,1,3,6,0,0,0,0,0,1,0,1,0,2,0,6.0,1,1
1,3.0,129,97,0,1,5,5,0,0,1,0,1,0,1,0,2,0,5.0,1,1
0,4.0,136,0,0,0,6,0,1,0,0,0,1,0,1,0,2,0,1.0,1,1
0,3.0,136,0,0,4,0,0,1,0,0,0,1,0,1,0,2,0,1.0,1,1
0,2.0,136,0,1,0,1,0,1,1,0,0,1,0,1,0,2,0,7.0,1,1
0,2.0,136,0,1,1,0,0,1,0,1,1,1,0,2,0,2,0,2.0,1,1
1,33.0,100,0,1,1,0,0,1,0,0,0,0,0,1,80,12,0,5.0,1,1
0,24.0,136,0,0,2,4,0,1,0,0,0,0,0,1,80,2,3,20.0,1,1
0,1.0,136,0,1,0,1,0,1,1,1,1,1,0,1,0,3,0,1.0,1,1
0,6.0,136,0,1,1,0,0,2,0,0,0,1,0,1,0,12,0,5.0,1,1
0,2.0,136,0,2,0,3,5,1,0,1,1,1,0,6,0,12,0,6.0,0,1
0,12.0,136,0,0,1,2,3,1,0,1,1,1,0,1,0,2,0,5.0,1,1
0,1.0,136,0,2,0,1,5,1,0,1,1,1,0,4,0,2,0,8.0,1,1
0,24.0,136,116,0,4,0,0,1,1,2,2,1,0,1,0,2,0,5.0,1,1
0,4.0,136,0,1,1,0,0,2,2,0,0,1,0,1,0,12,0,6.0,1,1
1,10.0,100,0,1,1,4,0,1,0,1,1,0,0,1,0,2,0,9.0,1,1
1,2.0,100,0,0,0,5,5,0,0,1,0,1,0,1,0,2,0,4.0,1,1
1,4.0,100,78,1,5,6,0,0,0,1,1,1,0,1,0,2,0,3.0,1,1
1,3.0,100,0,1,0,0,0,1,0,1,0,1,0,1,0,12,0,4.0,1,1
1,4.0,100,77,0,0,0,0,1,0,2,2,1,0,1,0,2,0,5.0,1,1
1,1.0,115,0,0,0,5,5,1,0,1,1,1,0,4,0,2,0,8.0,1,1
1,2.0,100,0,2,0,5,0,1,0,1,0,1,0,4,0,12,0,3.0,1,1
0,2.0,65,107,0,0,1,0,1,0,2,2,1,0,1,0,2,0,4.0,1,1
0,24.0,136,0,1,0,1,0,1,1,0,0,0,0,1,0,12,0,2.0,1,1
1,3.0,100,0,0,0,6,0,1,0,0,1,1,0,1,0,2,0,0.0,1,1
1,12.0,100,0,1,0,5,5,1,0,1,1,1,0,1,0,12,0,12.0,1,1
1,3.0,129,0,0,0,1,2,1,0,1,1,1,0,1,0,2,0,4.0,0,1
1,4.0,99,0,0,6,0,0,2,1,1,0,1,0,1,0,12,0,5.0,1,1
1,24.0,100,0,1,0,4,0,1,0,1,0,0,0,1,50,12,0,2.0,1,1
1,3.0,99,0,1,0,6,0,1,1,1,1,1,0,2,0,12,0,8.0,1,1
1,3.0,100,0,2,0,1,5,1,0,1,1,1,0,4,0,2,0,3.0,1,1
1,1.0,100,0,1,0,1,0,1,0,1,1,1,0,1,0,12,0,1.0,1,1
0,3.0,136,0,1,1,0,0,1,0,0,0,1,0,1,0,2,0,1.0,1,1
1,3.0,99,0,2,1,0,0,1,1,1,0,1,0,2,0,2,0,2.0,1,1
0,1.0,136,107,2,1,6,0,1,1,1,0,1,0,4,0,2,0,5.0,1,1
0,24.0,136,120,0,1,6,0,0,1,0,1,0,0,1,0,2,0,7.0,1,1
0,1.0,136,51,0,0,1,5,1,1,1,1,1,0,1,0,2,0,4.0,1,1
0,60.0,21,107,0,0,1,0,1,1,1,1,1,0,1,0,1,0,4.0,1,1
1,14.0,129,0,1,0,1,4,1,0,1,1,1,0,2,0,4,0,3.0,1,1
0,3.0,136,0,0,1,6,0,1,0,2,2,2,0,1,10,2,0,1.0,1,1
0,12.0,136,0,1,6,0,0,1,0,0,0,0,0,1,0,2,0,1.0,1,1
0,1.0,136,51,1,0,1,5,1,0,1,1,1,0,1,0,2,0,3.0,1,1
0,3.0,136,107,1,1,0,0,1,0,0,0,1,0,1,0,2,0,9.0,1,1
0,2.0,136,0,1,1,0,0,1,1,1,0,1,0,1,0,2,0,1.0,1,1
1,2.0,100,0,1,5,0,0,1,0,1,1,1,0,1,0,2,0,1.0,1,1
1,44.0,122,0,1,1,4,0,1,0,0,0,0,0,1,0,2,1,19.0,1,1
0,12.0,136,51,0,0,1,3,1,1,2,2,2,0,1,0,12,0,2.0,1,1
0,1.0,136,107,1,0,6,0,1,0,1,0,1,0,2,0,12,0,26.0,1,1
0,3.0,38,107,0,0,0,0,2,1,2,0,1,0,1,0,2,0,1.0,1,1
1,3.0,129,0,1,0,5,0,0,1,1,1,1,0,1,0,12,0,5.0,1,1
1,12.0,132,77,1,3,5,0,1,1,0,0,0,0,1,0,12,0,5.0,1,1
0,24.0,57,0,1,0,1,5,0,2,0,0,1,0,1,350,12,0,2.0,1,1
1,6.0,100,0,1,0,1,5,1,0,1,1,1,0,1,0,2,0,1.0,0,1
0,2.0,136,0,0,0,0,0,1,1,2,2,2,0,1,0,0,0,1.0,0,1
1,19.0,100,78,1,0,6,0,1,0,0,0,0,0,1,0,2,0,2.0,1,1
1,3.0,100,78,1,0,0,0,0,1,1,0,1,0,1,0,12,0,5.0,1,1
1,1.0,100,0,2,0,1,5,0,0,1,1,1,0,5,0,2,0,5.0,0,1
1,17.0,100,0,0,3,0,0,1,0,0,0,1,0,1,0,12,0,5.0,1,1
1,1.0,100,0,1,2,4,0,1,0,1,1,1,0,1,0,2,0,7.0,1,1
0,1.0,136,0,1,0,0,0,0,0,1,1,1,0,1,0,2,0,1.0,1,1
0,2.0,65,107,0,0,2,0,1,1,0,0,1,0,1,0,2,0,6.0,1,1
1,6.0,122,0,1,0,0,0,1,0,0,0,1,0,1,0,12,0,12.0,1,1
0,17.0,57,51,1,4,5,0,0,1,0,0,1,0,1,0,2,0,2.0,1,1
1,3.0,99,0,0,0,5,0,1,1,1,1,1,0,1,0,12,0,2.0,0,1
0,1.0,136,107,2,0,1,3,0,0,1,0,2,0,6,0,2,0,5.0,1,1
0,7.0,136,0,0,1,6,0,1,1,1,1,1,0,1,0,2,0,1.0,1,1
0,24.0,136,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,4.0,1,1
0,3.0,136,0,1,0,1,0,1,0,1,0,1,0,1,90,2,0,1.0,1,1
1,12.0,100,0,1,4,5,5,0,0,0,0,0,0,1,0,12,0,1.0,0,1
0,108.0,8,0,0,2,0,0,2,1,0,0,2,0,1,0,12,0,1.0,1,1
1,10.0,100,104,1,0,3,5,1,0,0,0,0,0,1,0,2,0,2.0,1,1
1,3.0,115,0,0,3,6,0,1,0,0,0,1,0,1,0,12,0,5.0,1,1
1,4.0,99,0,1,3,6,0,0,0,1,0,1,0,1,0,12,0,5.0,1,1
0,1.0,136,107,2,1,4,0,1,0,1,1,1,0,4,0,2,0,4.0,1,1
0,5.0,52,0,1,1,0,0,1,0,0,0,1,0,1,0,2,0,11.0,1,1
0,18.0,16,0,1,1,6,0,0,0,0,0,1,0,1,0,12,0,1.0,1,1
1,1.0,80,0,1,0,6,0,0,0,1,1,1,0,1,0,12,0,1.0,1,1
1,12.0,84,97,1,5,0,0,1,0,0,0,0,0,1,0,2,0,2.0,1,1
0,72.0,27,107,0,0,1,0,2,0,0,0,0,0,1,0,12,0,5.0,1,1
1,2.0,100,0,0,0,1,0,1,0,0,0,1,0,1,70,2,0,1.0,0,1
1,2.0,99,0,1,6,0,0,1,1,1,1,1,0,1,0,2,0,1.0,0,1
1,3.0,129,77,1,0,1,3,1,1,1,0,1,0,1,0,2,0,5.0,1,1
0,3.0,136,0,1,1,3,0,1,0,0,0,0,0,1,0,2,0,4.0,1,1
1,16.0,100,0,1,0,3,5,0,0,1,1,1,0,15,0,2,0,4.0,1,1
0,3.0,136,0,1,1,2,0,1,1,0,0,1,0,1,50,2,0,2.0,1,1
0,0.0,136,0,0,4,0,0,0,0,1,1,1,0,2,0,5,0,5.0,1,1
0,12.0,136,0,2,1,4,0,1,0,0,0,0,0,5,0,2,0,7.0,1,1
0,2.0,136,0,1,0,1,5,1,0,1,1,1,0,1,0,12,0,1.0,1,1
0,2.0,136,107,2,0,1,5,0,1,0,0,2,0,2,0,2,0,5.0,1,1
1,6.0,99,0,0,1,0,0,1,1,0,0,2,0,1,0,12,0,2.0,1,1
1,2.0,99,0,1,0,4,5,0,1,2,2,2,0,4,0,12,0,2.0,1,1
1,14.0,100,0,0,0,6,0,2,0,1,1,1,0,1,0,12,0,2.0,1,1
1,2.0,100,0,0,1,3,3,0,0,1,1,1,0,1,0,2,0,13.0,1,1
1,2.0,100,0,1,3,6,0,0,0,1,1,1,0,1,0,2,0,3.0,0,1
0,2.0,136,0,1,0,1,0,1,0,2,2,1,0,1,0,2,0,3.0,1,1
0,3.0,136,107,0,1,6,0,1,0,0,0,1,0,1,0,12,0,2.0,1,1
0,72.0,57,46,0,0,5,5,0,2,0,0,0,0,1,200,2,0,9.0,1,1
1,2.0,100,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,3.0,1,1
1,2.0,100,78,2,1,2,5,1,0,1,1,1,0,3,0,2,0,5.0,0,1
0,3.0,136,0,0,0,1,0,1,1,0,0,1,0,1,0,2,0,3.0,1,1
0,6.0,136,0,1,0,1,0,1,1,0,0,1,0,1,0,2,0,5.0,1,1
0,2.0,136,0,1,5,0,0,1,1,0,0,1,0,1,0,12,0,4.0,1,1
0,7.0,136,107,1,1,0,0,1,1,1,1,0,0,1,0,2,0,1.0,1,1
0,2.0,136,0,1,6,0,0,1,2,0,0,1,0,1,0,2,0,1.0,1,1
0,3.0,136,107,0,4,5,0,1,1,1,1,1,0,1,0,2,0,1.0,1,1
1,12.0,135,77,1,0,6,0,1,1,2,2,2,0,1,200,12,0,5.0,1,1
0,12.0,136,29,1,0,6,0,2,0,0,0,0,0,1,100,2,0,6.0,1,1
0,2.0,136,0,1,0,1,0,1,0,0,0,1,0,1,0,2,0,2.0,1,1
1,2.0,100,101,0,1,0,0,0,0,1,1,1,0,1,0,12,0,3.0,1,1
0,3.0,136,122,1,0,5,5,2,0,0,0,0,0,1,0,2,0,1.0,1,1
0,12.0,136,50,2,0,1,3,1,1,0,0,2,0,3,0,12,0,2.0,1,1
1,5.0,99,101,1,4,6,0,1,1,1,0,1,0,1,0,2,0,5.0,1,1
0,1.0,136,0,0,0,0,0,1,0,1,0,1,0,1,0,12,0,5.0,1,1
1,3.0,129,76,0,2,0,0,1,1,1,0,1,0,1,100,12,0,5.0,1,1
0,12.0,136,0,1,6,0,0,1,0,0,0,0,0,1,0,5,0,28.0,1,1
1,2.0,99,77,0,3,0,0,0,1,1,0,1,0,1,0,2,0,5.0,1,1
1,1.0,99,76,0,2,6,0,1,1,1,1,1,0,1,50,2,0,7.0,1,1
0,17.0,142,0,1,6,0,0,0,0,0,0,1,0,1,0,2,0,2.0,1,1
0,24.0,136,0,1,0,1,0,1,0,0,0,0,0,1,0,12,0,8.0,1,1
0,24.0,136,0,1,6,0,0,1,0,0,0,0,0,1,0,2,0,15.0,1,1
1,2.0,91,0,2,0,3,5,1,1,1,1,1,0,2,0,2,0,5.0,1,1
1,1.0,100,0,2,0,2,4,0,0,1,1,1,0,4,0,12,0,1.0,0,1
1,1.0,100,0,1,5,6,0,1,0,0,0,1,0,3,0,2,0,1.0,1,1
0,36.0,57,0,1,1,4,0,0,1,0,0,0,0,1,0,2,0,1.0,1,1
0,36.0,136,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1.0,1,1
1,12.0,99,0,1,0,1,1,1,1,2,2,2,0,1,75,2,0,2.0,1,1
0,1.0,136,107,1,1,6,0,1,0,1,2,1,0,1,0,2,0,1.0,1,1
1,2.0,100,0,0,2,4,0,1,0,1,1,1,0,1,0,2,0,2.0,1,1
1,12.0,114,0,1,3,6,0,1,1,0,2,1,0,1,0,12,0,3.0,1,1
1,4.0,100,0,0,0,6,0,0,0,0,0,0,0,1,0,2,0,7.0,0,1
0,3.0,136,123,1,0,1,0,2,0,0,0,0,0,1,300,2,0,3.0,1,1
0,3.0,136,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,11.0,1,1
1,1.0,100,0,0,6,0,0,1,0,1,0,1,0,2,0,2,0,10.0,1,1
0,31.0,51,0,0,1,6,0,1,0,0,0,1,0,1,350,2,0,1.0,1,1
0,96.0,8,0,0,2,0,0,1,1,0,0,1,0,1,0,2,0,2.0,1,1
1,72.0,100,0,0,0,6,0,1,0,0,0,0,0,1,0,2,0,10.0,1,1
0,6.0,136,107,1,4,6,0,1,0,0,0,0,0,2,0,5,0,3.0,1,1
0,2.0,136,0,1,0,6,0,1,0,1,0,1,0,1,0,2,0,6.0,1,1
0,12.0,136,0,0,1,6,0,1,0,0,0,1,0,1,0,2,0,3.0,1,1
1,10.0,129,0,0,3,6,0,1,0,0,0,0,0,1,0,5,0,6.0,1,1
0,12.0,136,0,0,2,4,0,1,1,2,1,1,0,1,0,4,0,2.0,1,1
0,11.0,136,0,0,1,6,0,1,1,0,0,0,0,1,0,2,0,1.0,1,1
0,1.0,136,0,1,6,0,0,0,0,1,1,1,0,1,0,5,2,5.0,1,1
0,36.0,136,0,0,0,1,5,0,1,0,0,1,0,1,0,12,0,1.0,1,1
0,11.0,136,0,0,0,1,5,1,0,0,2,1,0,1,0,2,0,4.0,1,1
1,3.0,100,0,0,2,4,0,1,0,1,0,1,0,2,0,12,0,3.0,1,1
0,12.0,136,0,1,2,4,0,1,0,0,0,0,0,1,0,2,0,1.0,1,1
1,0.0,99,0,0,1,2,0,0,1,2,2,2,1,1,0,12,0,1.0,1,1
0,1.0,136,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,4.0,1,1
1,7.0,99,0,0,1,6,0,2,1,1,2,1,0,1,0,2,0,5.0,1,1
1,3.0,100,0,1,5,6,0,0,0,1,1,1,0,1,0,2,0,2.0,1,1
0,60.0,136,0,0,1,2,0,1,0,0,0,1,0,1,0,2,0,1.0,1,1
0,2.0,136,0,0,0,0,0,1,0,1,0,1,0,1,0,12,0,1.0,1,1
0,1.0,136,0,1,1,0,0,1,0,1,1,1,0,1,0,5,0,3.0,1,1
1,3.0,100,0,0,1,6,0,0,1,1,0,1,0,1,0,2,0,3.0,1,1
1,60.0,129,0,0,0,1,3,3,1,0,0,0,0,3,0,12,0,4.0,1,1
1,14.0,99,101,2,2,3,3,0,1,1,1,1,0,3,0,2,0,3.0,1,1
0,2.0,136,0,1,6,0,0,1,0,1,1,1,0,1,20,3,0,1.0,1,1
0,12.0,50,14,0,1,6,0,1,1,0,0,0,0,1,0,2,0,10.0,1,1
0,4.0,21,107,0,2,3,5,1,0,0,0,1,0,1,0,2,0,7.0,1,1
1,8.0,99,0,1,0,1,5,1,1,1,1,1,0,5,0,2,0,4.0,1,1
1,1.0,98,0,1,0,1,5,1,2,1,1,1,0,1,0,2,0,4.0,1,1
1,2.0,99,0,2,2,6,0,0,1,1,0,1,0,2,70,2,0,5.0,1,1
0,3.0,136,0,0,1,0,0,1,0,0,0,1,0,1,0,12,0,4.0,1,1
0,2.0,136,0,0,0,1,0,2,0,2,2,1,0,1,0,2,0,3.0,1,1
0,3.0,136,0,1,3,0,0,1,0,0,0,0,0,1,0,2,0,5.0,1,1
0,12.0,57,0,0,1,4,0,0,1,2,2,2,0,1,0,2,0,2.0,1,1
0,24.0,21,107,1,1,6,0,1,1,0,0,0,0,2,0,2,0,1.0,1,1
0,5.0,136,0,1,6,0,0,1,0,1,1,1,0,1,20,3,0,1.0,1,1
1,6.0,100,0,2,2,3,5,2,0,0,0,2,0,2,0,12,0,5.0,0,1
1,3.0,132,78,1,0,3,5,0,0,1,1,1,0,1,0,12,0,2.0,1,1
1,9.0,100,0,1,3,6,0,0,0,0,0,0,0,1,0,7,0,3.0,1,1
1,1.0,100,0,2,0,1,5,0,0,1,1,1,0,4,0,12,0,10.0,1,1
0,6.0,136,0,0,1,6,0,2,0,0,0,0,0,1,0,3,0,4.0,1,1
0,2.0,136,0,1,2,0,0,1,0,1,0,1,0,1,0,12,0,1.0,1,1
1,7.0,100,0,1,5,0,0,0,0,0,0,2,0,1,0,12,0,1.0,1,1
1,24.0,99,0,1,4,6,0,1,1,0,2,0,0,1,0,12,0,4.0,1,1
1,3.0,100,92,0,0,0,0,2,0,1,0,1,0,1,0,2,0,1.0,1,1
0,9.0,136,0,0,5,0,0,1,0,2,0,1,0,1,0,2,0,4.0,1,1
1,3.0,86,0,1,5,0,0,0,0,1,0,1,0,1,0,12,0,2.0,1,1
